language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
en,chairman,chair,chairperson|chair of the board,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,The chairman opened the meeting.,The chair opened the meeting.
en,Chairman,chair,chairperson|chair of the board,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,The chairman opened the meeting.,The chair opened the meeting.
en,the chairman,chair,chairperson|chair of the board,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,The chairman opened the meeting.,The chair opened the meeting.
en,policeman,police officer,officer|law enforcement officer,gender|occupation,noun,law enforcement,neutral,replace,stereotype,profession,explicit,,,,,,,,The policeman helped the child.,The police officer helped the child.
en,Policeman,police officer,officer|law enforcement officer,gender|occupation,noun,law enforcement,neutral,replace,stereotype,profession,explicit,,,,,,,,The policeman helped the child.,The police officer helped the child.
en,the policeman,police officer,officer|law enforcement officer,gender|occupation,noun,law enforcement,neutral,replace,stereotype,profession,explicit,,,,,,,,The policeman helped the child.,The police officer helped the child.
en,waitress,server,waitstaff|attendant,gender|occupation,noun,hospitality,neutral,replace,stereotype,profession,explicit,,,,,,,,The waitress took our order.,The server took our order.
en,Waitress,server,waitstaff|attendant,gender|occupation,noun,hospitality,neutral,replace,stereotype,profession,explicit,,,,,,,,The waitress took our order.,The server took our order.
en,the waitress,server,waitstaff|attendant,gender|occupation,noun,hospitality,neutral,replace,stereotype,profession,explicit,,,,,,,,The waitress took our order.,The server took our order.
en,he or she,they,,gender|pronoun,pronoun,general,neutral,replace,stereotype,daily_life,explicit,,,,,,,,"If a student is late, he or she must report.","If a student is late, they must report."
en,He Or She,they,,gender|pronoun,pronoun,general,neutral,replace,stereotype,daily_life,explicit,,,,,,,,"If a student is late, he or she must report.","If a student is late, they must report."
en,crazy,wild,unusual|unexpected,ableism|descriptor,adjective,general,informal,warn,stereotype,profession,explicit,,,,,,,,That’s a crazy idea!,That’s a wild idea!
en,Crazy,wild,unusual|unexpected,ableism|descriptor,adjective,general,informal,warn,stereotype,profession,explicit,,,,,,,,That’s a crazy idea!,That’s a wild idea!
en,the crazy,wild,unusual|unexpected,ableism|descriptor,adjective,general,informal,warn,stereotype,profession,explicit,,,,,,,,That’s a crazy idea!,That’s a wild idea!
en,businessman,businessperson,entrepreneur|business owner,gender|occupation,noun,business,formal,replace,stereotype,profession,explicit,,,,,,,,The businessman closed the deal.,The businessperson closed the deal.
en,fireman,firefighter,fire officer|emergency responder,gender|occupation,noun,emergency,formal,replace,stereotype,profession,explicit,,,,,,,,The fireman saved the cat.,The firefighter saved the cat.
en,mailman,mail carrier,postal worker|delivery person,gender|occupation,noun,postal,formal,replace,stereotype,profession,explicit,,,,,,,,The mailman delivered the package.,The mail carrier delivered the package.
en,stewardess,flight attendant,cabin crew|airline attendant,gender|occupation,noun,aviation,formal,replace,stereotype,profession,explicit,,,,,,,,The stewardess served drinks.,The flight attendant served drinks.
en,congressman,representative,legislator|member of congress,gender|occupation,noun,political,formal,replace,stereotype,profession,explicit,,,,,,,,Ask your congressman about the bill.,Ask your representative about the bill.
en,weatherman,meteorologist,weather forecaster|weather reporter,gender|occupation,noun,media,formal,replace,stereotype,profession,explicit,,,,,,,,The weatherman predicted rain.,The meteorologist predicted rain.
en,weathergirl,meteorologist,weather forecaster|weather reporter,gender|occupation,noun,media,formal,replace,stereotype,profession,explicit,,,,,,,,The new weathergirl is very professional.,The new meteorologist is very professional.
en,spokesman,spokesperson,representative|spokesperson,gender|occupation,noun,media,formal,replace,stereotype,profession,explicit,,,,,,,,The spokesman issued a statement.,The spokesperson issued a statement.
